timestamp,text
00:01,The Future of Reasoning
00:03,Hey Vsauce!
00:04,Michael here.
00:05,Where is your mind?
00:07,Is it in your head?
00:10,"I mean, that’s where your brain is — and your brain remembers, plans, makes judgements,"
00:17,solves problems … but you also remember and plan with things like these and this.
00:25,"And you solve problems and make judgements with all sorts of other stuff, too."
00:33,"The more you think about it, the more you realize that while the brain is a wet lump"
00:40,"of fat and protein, no firmer than a glob of tofu, the MIND is something much larger:"
00:48,it’s an ever-expanding organ of tissue AND wood and stone and steel.
00:53,And people.
00:55,Because of communication we can even make OTHER PEOPLE extensions of our minds.
01:02,We can access their memories and perceptions and knowledge by simply asking.
01:07,Or not.
01:09,I don’t need to learn how to fix a car AND practice medicine AND vulcanize rubber OR
01:14,remember everything … other people are doing that for me just as I do things for them.
01:20,We are a species of individuals that is also one big interdependent lumbering growth.
01:27,A frantic blur of flesh and concrete.
01:31,A ‘techno sapien’ powered by imaginations and passions made real by a hallowed faculty
01:38,we call REASON.
01:39,"Reason, it is said, guides us to truer knowledge and better decisions."
01:45,"It’s allowed us to increase life-expectancy, suffer less, work together better, and it’s"
01:51,bound to take us further and higher until the end of time.
01:56,Or is it?
01:58,"The organ we USE to reason takes millions of years to evolve, but the fruits of reason"
02:05,grow rapidly and are ever accelerating.
02:08,"In the next four decades, we’re expected to build the equivalent of another new york"
02:13,city every month
02:15,More concrete was installed in the last two decades outside the US than the US installed
02:22,during the entire 20th century.
02:25,This growth means that quality of life around the world is rising.
02:29,"It means that electricity, manufactured goods, food, comfort and transportation are all becoming"
02:35,more common and accessible.
02:38,But there are hints that reason and logic are struggling aginst the complexity of it
02:44,all; against our growing dependence on the things we’ve built and their unintended
02:50,consequences.
02:52,Nearly every part of life as we know it today involves or relies on a process that releases
02:59,molecules with lopsided electrical charges.
03:02,"This property causes them to absorb and re-emit thermal radiation, pinging it around so that"
03:08,it escapes into space more slowly.
03:11,Having more warmer parcels of air means stronger weather events.
03:15,"They can’t be pinned on any particular extreme storm, but they make extreme storms in general"
03:21,more extreme and frequent.
03:23,"What’s a stake isn’t just ‘bad weather’ it’s disaster: it’s more lives lost, more"
03:29,"property lost, it’s more droughts, more hunger, more famine, more people needing refuge,"
03:34,and a even greater reliance on the very things that caused the problems in the first place.
03:40,"In total, we release about 51 billion tons of such gases every year and we need to release"
03:48,zero.
03:50,But how do you re-think … everything?
03:56,Who gets to direct the costs and tradeoffs?
